ID,Company Name,Job Title,Status,Category,Location,Application Date,Tags,Salary Range,Job URL,Job Description,Notes,AI Match Score
16,Supabase,Database Infrastructure Engineer,Applied,Backend Development,Remote (Worldwide),2026-08-17,"PostgreSQL, Elixir, Go, Docker, Open Source","$150,000 - $175,000",https://supabase.com/careers/db-infra,"Supabase is hiring a Database Infrastructure Engineer to build automated Postgres provisioning, real-time database listeners, and authentication middleware.  Responsibilities: • Design automated PostgreSQL instance provisioning with custom extension management • Build real-time data streaming using PostgreSQL logical replication and Elixir Phoenix Channels • Implement Row Level Security (RLS) policy generators for multi-tenant SaaS applications • Develop database migration tooling with zero-downtime schema change capabilities • Contribute to Supabase's open-source codebase with high-quality, well-documented code  Requirements: • 3+ years working with PostgreSQL internals (WAL, MVCC, extensions, replication) • Proficiency in Go, Elixir, or Rust for systems-level programming • Experience with containerized database deployments and orchestration • Passion for open-source development and community collaboration",Applied via open-source contribution link after merging a PR to their realtime engine. Strong alignment with their database-first philosophy.,N/A
12,Amazon Web Services (AWS),DevOps & Cloud Architect,Applied,DevOps & Cloud Infrastructure,"Seattle, WA (Remote)",2026-08-16,"AWS, Terraform, EKS, Kubernetes, Docker, CI/CD","$180,000 + Stock",https://amazon.jobs/en/jobs/294012,"AWS is hiring a DevOps & Cloud Architect to lead cloud-native container deployments and Infrastructure-as-Code automation for enterprise migration teams.  Responsibilities: • Design multi-region Kubernetes (EKS) architectures with automated failover and disaster recovery • Build Terraform modules for repeatable infrastructure provisioning across 50+ AWS services • Implement CI/CD pipelines with CodePipeline, GitHub Actions, and ArgoCD for GitOps deployments • Conduct Well-Architected Reviews and security audits for enterprise cloud migration projects • Develop cost optimization strategies reducing cloud spend by 20-40% through right-sizing and reserved instances  Requirements: • 4+ years of cloud infrastructure experience with AWS (certified preferred) • Expert-level Terraform/CloudFormation skills for Infrastructure-as-Code • Deep experience with container orchestration (EKS, ECS, Docker Compose) • Knowledge of networking concepts (VPC, Transit Gateway, PrivateLink, Route 53)",Submitted custom resume tailored for AWS Cloud Architect competencies. Highlighted Terraform multi-cloud experience and EKS cluster management.,N/A
13,Uber Technologies,Mobile Software Engineer (React Native),Applied,Mobile App Development,"Chicago, IL (Hybrid)",2026-08-15,"React Native, Mobile, Redux, iOS, Android, WebSockets","$148,000 - $175,000",https://uber.com/careers/mobile-engineer-rn,"Uber is seeking a Mobile Software Engineer to build fluid, real-time tracking screens and payment checkout flows in React Native for the rider and driver apps.  You will: • Develop cross-platform mobile features for the Uber rider app used by 130M+ monthly active users • Build real-time map tracking interfaces with WebSocket-driven location updates at 1Hz refresh rate • Optimize React Native bridge performance for smooth 60fps animations on mid-range devices • Implement secure payment flows with biometric authentication and tokenized card processing • Reduce mobile app bundle size through code splitting, lazy loading, and tree shaking  Requirements: • 3+ years of mobile development with React Native or native iOS/Android • Experience with real-time data synchronization using WebSockets or gRPC streams • Knowledge of mobile performance profiling (Flipper, Xcode Instruments, Android Profiler) • Understanding of mobile CI/CD pipelines and app store deployment processes",Applied directly via LinkedIn Easy Apply. Customized cover letter highlighting real-time location tracking experience.,N/A
9,Atlassian,Fullstack Engineer (Jira Core),Screening,Fullstack Engineering,"Sydney, Australia (Remote-Friendly)",2026-08-14,"React, Java, Spring Boot, GraphQL, Microservices","$150,000 - $170,000",https://atlassian.com/careers/jira-fullstack,Atlassian is hiring a Fullstack Engineer for the Jira Core team to build modern enterprise issue tracking boards and workflow automation engines.  You will: • Develop React-based kanban boards and sprint planning interfaces used by millions of agile teams • Build Java/Spring Boot microservices for issue lifecycle management and notification dispatch • Design GraphQL APIs for efficient data fetching across complex project hierarchies • Implement real-time collaboration features using WebSocket connections and operational transforms • Write comprehensive integration tests ensuring backward compatibility across Jira product versions  Requirements: • 3+ years of fullstack development with React and Java/Kotlin • Experience with microservice architectures and event-driven communication patterns • Familiarity with GraphQL schema design and resolver optimization • Strong understanding of agile methodologies and project management domain,HR recruiter call completed. Very friendly team culture. Next step is technical assessment focusing on React component design.,86%
35,GitLab,Senior Backend Engineer (CI/CD),Applied,DevOps & Cloud Infrastructure,Remote (Worldwide),2026-08-14,"Ruby, Go, CI/CD, Kubernetes, GitOps","$145,000 - $175,000",https://about.gitlab.com/jobs/senior-backend-cicd,"GitLab is seeking a Senior Backend Engineer for the CI/CD team to build pipeline execution engines, runner autoscaling infrastructure, and artifact management systems.  You will design and scale GitLab CI pipeline orchestration handling millions of jobs daily across Kubernetes, Docker, and shell executors.",Applied through their all-remote job board. Love their transparent handbook culture. Strong fit for pipeline execution engine improvements.,N/A
14,Microsoft,Cloud Solutions Architect (Azure),Applied,DevOps & Cloud Infrastructure,"Redmond, WA (Hybrid)",2026-08-13,"Azure, Terraform, Enterprise, C#, Kubernetes","$165,000 + Bonus",https://careers.microsoft.com/jobs/azure-arch,"Microsoft is hiring a Cloud Solutions Architect to help enterprise clients design resilient hybrid-cloud architectures on Azure using containerized microservices.  Responsibilities: • Architect hybrid-cloud solutions combining Azure Kubernetes Service (AKS) with on-premises infrastructure • Design enterprise identity and access management solutions using Azure AD and RBAC policies • Build reference architectures for event-driven microservices using Azure Service Bus and Event Grid • Conduct technical workshops and proof-of-concept implementations for Fortune 500 clients • Develop ARM templates and Bicep modules for automated infrastructure deployment  Requirements: • 4+ years in cloud architecture or solutions engineering • Azure certifications (AZ-305, AZ-400 preferred) • Experience with C#/.NET Core, Python, or Go for cloud-native application development • Strong presentation and client-facing communication skills",Applied via internal referral from college friend Rafid. Strong alignment with Azure DevOps team requirements.,N/A
37,Grafana Labs,Senior Software Engineer (Observability),Applied,DevOps & Cloud Infrastructure,Remote (US / Europe),2026-08-13,"Go, Prometheus, Grafana, Loki, Tempo, Mimir","$155,000 - $185,000",https://grafana.com/careers/senior-eng-observability,"Grafana Labs is seeking a Senior Software Engineer to build open-source observability tools including Grafana dashboards, Loki log aggregation, and Tempo distributed tracing.  Design and scale time-series databases processing billions of data points per second with sub-second query latency.",Applied via open-source contributor pathway. Already contributed bugfixes to Grafana Loki. Recruiter acknowledged application.,83%
6,Spotify,Backend Engineer (Python / Django),Screening,Backend Development,"New York, NY (Hybrid)",2026-08-12,"Python, Django, PostgreSQL, Redis, gRPC, Docker","$155,000 + Equity",https://lifeatspotify.com/jobs/backend-python-django,"Spotify is seeking a Backend Engineer (Python/Django) to design and scale APIs powering personalized audio recommendation engines, streaming queues, and artist analytics dashboards.  Responsibilities: • Architect RESTful and gRPC APIs serving 500M+ monthly active users with < 50ms p99 latency • Design PostgreSQL schema migrations for high-write artist streaming analytics tables • Implement Redis caching layers for playlist metadata and user preference materialized views • Build Celery task queues for asynchronous audio transcoding and recommendation batch processing • Develop comprehensive test suites with 90%+ code coverage using pytest and factory_boy  Requirements: • 4+ years of backend development experience using Python & Django • Deep understanding of relational database optimization (query plans, indexing, partitioning) • Experience with message brokers (Kafka, RabbitMQ) and task queue systems (Celery) • Familiarity with containerized deployments using Docker and Kubernetes",Applied on portal. Recruiter reached out within 48 hours for initial screening call. Strong interest in audio recommendation engine work.,91%
23,JetBrains,IDE Platform Developer,Applied,Backend Development,Remote (Europe / US),2026-08-12,"Kotlin, Java, AST Parsers, IDE, Static Analysis","$145,000 - $170,000",https://jetbrains.com/careers/ide-developer,"JetBrains is seeking an IDE Platform Developer to build static code analysis parsers, refactoring engines, and intelligent autocomplete features for IntelliJ IDEA and PyCharm.  You will: • Develop PSI (Program Structure Interface) parsers for language analysis and code intelligence • Build smart code completion engines with ML-ranked suggestion scoring • Implement automated refactoring operations (rename, extract, inline) with semantic correctness guarantees • Design incremental re-parsing algorithms for real-time syntax error detection • Optimize IDE startup time and memory footprint for large-scale enterprise codebases  Requirements: • 3+ years of Kotlin or Java development with focus on tooling or compilers • Understanding of abstract syntax trees (AST), type systems, and control flow analysis • Experience with plugin development for IntelliJ platform or similar IDE frameworks • Knowledge of language server protocol (LSP) and editor integration patterns",Applied with Kotlin project portfolio showcasing custom code analysis tools and IntelliJ plugin development.,N/A
15,GitHub,Systems Engineer (Ruby / Go),Applied,Backend Development,Remote (US),2026-08-11,"Go, Ruby, Git Internals, MySQL, Redis","$160,000 - $185,000",https://github.com/about/careers/systems-eng,"GitHub is seeking a Systems Engineer to maintain and scale backend repository storage clusters, git wire protocol handlers, and background job processing infrastructure.  You will: • Optimize git pack file generation and object deduplication for repositories with 10M+ objects • Design MySQL sharding strategies for the repository metadata layer serving 100M+ developers • Build Redis-backed distributed locking mechanisms for concurrent repository write operations • Implement background job processors handling millions of webhook deliveries per hour • Contribute to open-source git protocol improvements and server-side hook frameworks  Requirements: • 3+ years of backend systems engineering with Ruby or Go • Understanding of git internals (object model, packfiles, ref storage, transfer protocols) • Experience with MySQL/PostgreSQL at scale (replication, sharding, query optimization) • Familiarity with distributed computing patterns and eventual consistency models",Submitted resume highlighting open-source git contributions and distributed systems experience. Portfolio includes a custom git object store implementation.,84%
